Date,Close
02/01/2020 16:00:00,329.81
03/01/2020 16:00:00,325.9
06/01/2020 16:00:00,335.83
07/01/2020 16:00:00,330.75
08/01/2020 16:00:00,339.26
09/01/2020 16:00:00,335.66
10/01/2020 16:00:00,329.05
13/01/2020 16:00:00,338.92
14/01/2020 16:00:00,338.69
15/01/2020 16:00:00,339.07
16/01/2020 16:00:00,338.62
17/01/2020 16:00:00,339.67
21/01/2020 16:00:00,338.11
22/01/2020 16:00:00,326
23/01/2020 16:00:00,349.6
24/01/2020 16:00:00,353.16
27/01/2020 16:00:00,342.88
28/01/2020 16:00:00,348.52
29/01/2020 16:00:00,343.16
30/01/2020 16:00:00,347.74
31/01/2020 16:00:00,345.09
03/02/2020 16:00:00,358
04/02/2020 16:00:00,369.01
05/02/2020 16:00:00,369.67
06/02/2020 16:00:00,366.95
07/02/2020 16:00:00,366.77
10/02/2020 16:00:00,371.07
11/02/2020 16:00:00,373.69
12/02/2020 16:00:00,380.01
13/02/2020 16:00:00,381.4
14/02/2020 16:00:00,380.4
18/02/2020 16:00:00,387.78
19/02/2020 16:00:00,386.19
20/02/2020 16:00:00,386
21/02/2020 16:00:00,380.07
24/02/2020 16:00:00,368.7
25/02/2020 16:00:00,360.09
26/02/2020 16:00:00,379.24
27/02/2020 16:00:00,371.71
28/02/2020 16:00:00,369.03
02/03/2020 16:00:00,381.05
03/03/2020 16:00:00,368.77
04/03/2020 16:00:00,383.79
05/03/2020 16:00:00,372.78
06/03/2020 16:00:00,368.97
09/03/2020 16:00:00,346.49
10/03/2020 16:00:00,364.13
11/03/2020 16:00:00,349.92
12/03/2020 16:00:00,315.25
13/03/2020 16:00:00,336.3
16/03/2020 16:00:00,298.84
17/03/2020 16:00:00,319.75
18/03/2020 16:00:00,315.47
19/03/2020 16:00:00,332.03
20/03/2020 16:00:00,332.83
23/03/2020 16:00:00,360.27
24/03/2020 16:00:00,357.32
25/03/2020 16:00:00,342.39
26/03/2020 16:00:00,362.99
27/03/2020 16:00:00,357.12
30/03/2020 16:00:00,370.96
31/03/2020 16:00:00,375.5
01/04/2020 16:00:00,364.08
02/04/2020 16:00:00,370.08
03/04/2020 16:00:00,361.76
06/04/2020 16:00:00,379.96
07/04/2020 16:00:00,372.28
08/04/2020 16:00:00,371.12
09/04/2020 16:00:00,370.72
13/04/2020 16:00:00,396.72
14/04/2020 16:00:00,413.55
15/04/2020 16:00:00,426.75
16/04/2020 16:00:00,439.17
17/04/2020 16:00:00,422.96
20/04/2020 16:00:00,437.49
21/04/2020 16:00:00,433.83
22/04/2020 16:00:00,421.42
23/04/2020 16:00:00,426.7
24/04/2020 16:00:00,424.99
27/04/2020 16:00:00,421.38
28/04/2020 16:00:00,403.83
29/04/2020 16:00:00,411.89
30/04/2020 16:00:00,419.85
01/05/2020 16:00:00,415.27
04/05/2020 16:00:00,428.15
05/05/2020 16:00:00,424.68
06/05/2020 16:00:00,434.26
07/05/2020 16:00:00,436.53
08/05/2020 16:00:00,435.55
11/05/2020 16:00:00,440.52
12/05/2020 16:00:00,431.82
13/05/2020 16:00:00,438.27
14/05/2020 16:00:00,441.95
15/05/2020 16:00:00,454.19
18/05/2020 16:00:00,452.58
19/05/2020 16:00:00,451.04
20/05/2020 16:00:00,447.67
21/05/2020 16:00:00,436.25
22/05/2020 16:00:00,429.32
26/05/2020 16:00:00,414.77
27/05/2020 16:00:00,419.89
28/05/2020 16:00:00,413.44
29/05/2020 16:00:00,419.73
01/06/2020 16:00:00,425.92
02/06/2020 16:00:00,427.31
03/06/2020 16:00:00,421.97
04/06/2020 16:00:00,414.33
05/06/2020 16:00:00,419.6
08/06/2020 16:00:00,419.49
09/06/2020 16:00:00,434.05
10/06/2020 16:00:00,434.48
11/06/2020 16:00:00,425.56
12/06/2020 16:00:00,418.07
15/06/2020 16:00:00,425.5
16/06/2020 16:00:00,436.13
17/06/2020 16:00:00,447.77
18/06/2020 16:00:00,449.87
19/06/2020 16:00:00,453.72
22/06/2020 16:00:00,468.04
23/06/2020 16:00:00,466.26
24/06/2020 16:00:00,457.85
25/06/2020 16:00:00,465.91
26/06/2020 16:00:00,443.4
29/06/2020 16:00:00,447.24
30/06/2020 16:00:00,455.04
01/07/2020 16:00:00,485.64
02/07/2020 16:00:00,476.89
