Date,Close
02/01/2024 16:00:00,185.64
03/01/2024 16:00:00,184.25
04/01/2024 16:00:00,181.91
05/01/2024 16:00:00,181.18
08/01/2024 16:00:00,185.56
09/01/2024 16:00:00,185.14
10/01/2024 16:00:00,186.19
11/01/2024 16:00:00,185.59
12/01/2024 16:00:00,185.92
16/01/2024 16:00:00,183.63
17/01/2024 16:00:00,182.68
18/01/2024 16:00:00,188.63
19/01/2024 16:00:00,191.56
22/01/2024 16:00:00,193.89
23/01/2024 16:00:00,195.18
24/01/2024 16:00:00,194.5
25/01/2024 16:00:00,194.17
26/01/2024 16:00:00,192.42
29/01/2024 16:00:00,191.73
30/01/2024 16:00:00,188.04
31/01/2024 16:00:00,184.4
01/02/2024 16:00:00,186.86
02/02/2024 16:00:00,185.85
05/02/2024 16:00:00,187.68
06/02/2024 16:00:00,189.3
07/02/2024 16:00:00,189.41
08/02/2024 16:00:00,188.32
09/02/2024 16:00:00,188.85
12/02/2024 16:00:00,187.15
13/02/2024 16:00:00,185.04
14/02/2024 16:00:00,184.15
15/02/2024 16:00:00,183.86
16/02/2024 16:00:00,182.31
20/02/2024 16:00:00,181.56
21/02/2024 16:00:00,182.32
22/02/2024 16:00:00,184.37
23/02/2024 16:00:00,182.52
26/02/2024 16:00:00,181.16
27/02/2024 16:00:00,182.63
28/02/2024 16:00:00,181.42
29/02/2024 16:00:00,180.75
01/03/2024 16:00:00,179.66
04/03/2024 16:00:00,175.1
05/03/2024 16:00:00,170.12
06/03/2024 16:00:00,169.12
07/03/2024 16:00:00,169
08/03/2024 16:00:00,170.73
11/03/2024 16:00:00,172.75
12/03/2024 16:00:00,173.23
13/03/2024 16:00:00,171.13
14/03/2024 16:00:00,173
15/03/2024 16:00:00,172.62
18/03/2024 16:00:00,173.72
19/03/2024 16:00:00,176.08
20/03/2024 16:00:00,178.67
21/03/2024 16:00:00,171.37
22/03/2024 16:00:00,172.28
25/03/2024 16:00:00,170.85
26/03/2024 16:00:00,169.71
27/03/2024 16:00:00,173.31
28/03/2024 16:00:00,171.48
01/04/2024 16:00:00,170.03
02/04/2024 16:00:00,168.84
03/04/2024 16:00:00,169.65
04/04/2024 16:00:00,168.82
05/04/2024 16:00:00,169.58
08/04/2024 16:00:00,168.45
09/04/2024 16:00:00,169.67
10/04/2024 16:00:00,167.78
11/04/2024 16:00:00,175.04
12/04/2024 16:00:00,176.55
15/04/2024 16:00:00,172.69
16/04/2024 16:00:00,169.38
17/04/2024 16:00:00,168
18/04/2024 16:00:00,167.04
19/04/2024 16:00:00,165
22/04/2024 16:00:00,165.84
23/04/2024 16:00:00,166.9
24/04/2024 16:00:00,169.02
25/04/2024 16:00:00,169.89
26/04/2024 16:00:00,169.3
29/04/2024 16:00:00,173.5
30/04/2024 16:00:00,170.33
01/05/2024 16:00:00,169.3
02/05/2024 16:00:00,173.03
03/05/2024 16:00:00,183.38
